DIRECCIÓN;TIPO_EVENTO;SUBSECTOR;PROYECTO;TITULAR;MODALIDAD;LUGAR;DEPARTAMENTO;FECHA;HORA;ESTADO;NUMERO_ASISTENTES;NUMERO_MUJERES;NUMERO_HOMBRES;NUMERO_PREGUNTAS;FECHA_CORTE
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA SAN GABÁN II"" ";SAN GABÁN S.A. ;PRESENCIAL;INSTITUCIÓN EDUCATIVA N° 72212 DE LA COMUNIDAD CAMPESINA HUAYUMA NINAHUISA, DISTRITO DE MACUSANI, PROVINCIA DE CARABAYA ;PUNO ;20170706;09:00:00;REALIZADO;79;33;46;19;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ""LÍNEA DE TRANSMISIÓN PARA LA CONEXIÓN DE LA CENTRAL HIDROELÉCTRICA SAN GABÁN III AL SEIN"" ";HYDRO GLOBAL PERÚ S.A.C.;PRESENCIAL;LOCAL COMUNAL COMUNIDAD CAMPESINA CHIMBOYA-AYMAÑA;PUNO;20170706;10:00:00;REALIZADO;179;85;94;29;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ""LÍNEA DE TRANSMISIÓN PARA LA CONEXIÓN DE LA CENTRAL HIDROELÉCTRICA SAN GABÁN III AL SEIN"" ";HYDRO GLOBAL PERÚ S.A.C.;PRESENCIAL;LOCAL COMUNAL COMUNIDAD CAMPESINA LLUTUYO;PUNO;20170709;10:00:00;REALIZADO;65;25;40;17;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ""LÍNEA DE TRANSMISIÓN PARA LA CONEXIÓN DE LA CENTRAL HIDROELÉCTRICA SAN GABÁN III AL SEIN"" ";HYDRO GLOBAL PERÚ S.A.C.;PRESENCIAL;SALÓN CONSISTORIAL DE LA MUNICIPALIDAD PROVINCIAL DE CANCHIS ;PUNO;20170710;14:30:00;REALIZADO;91;20;71;9;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ""LÍNEA DE TRANSMISIÓN PARA LA CONEXIÓN DE LA CENTRAL HIDROELÉCTRICA SAN GABÁN III AL SEIN"" ";HYDRO GLOBAL PERÚ S.A.C.;PRESENCIAL;SALÓN COMUNAL DE LA COMUNIDAD CAMPESINA DE ALTIPLANO CHÍA, DISTRITO DE OYAECHEA, PROVINCIA DE CARABAYA;PUNO ;20170715;10:00:00;REALIZADO;57;31;26;18;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ""LÍNEA DE TRANSMISIÓN PARA LA CONEXIÓN DE LA CENTRAL HIDROELÉCTRICA SAN GABÁN III AL SEIN"" ";HYDRO GLOBAL PERÚ S.A.C.;PRESENCIAL;SALÓN COMUNAL DE LA COMUNIDAD CAMPESINA DE QUICHU, DISTRITO DE OLLAEHECHEA, PROVINCIA DE CARABAYA ;PUNO ;20170806;10:00:00;REALIZADO;206;40;166;13;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;LOCAL COMUNAL DE LA C.C. KIMAN AYLLU, DISTRITO DE YURACMARCA, PROVINCIA DE HUAYLAS, DEPARTAMENTO DE ANCASH;ANCASH;20170901;09:00:00;REALIZADO;32;5;27;4;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;CASA DE LA SRA. DOMINGUEZ CARRERA EN EL ANEXO MANAHUAJE, DISTRITO DE HUACRACHUCO, PROVINCIA DE MARAÑÓN, DEPARTAMENTO DE HUÁNUCO;HUÁNUCO;20170901;09:00:00;REALIZADO;38;19;19;5;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;LOCAL MUNICIPAL DEL CASERÍO RANGUAS, C.C. RANGUAS, DISTRITO DE YANAC, PROVINCIA DE CORONGO, DEPARTAMENTO DE ANCASH;ANCASH;20170901;15:00:00;REALIZADO;29;13;16;10;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;LOCAL COMUNAL DE LA C.C. YANAC, DISTRITO DE YANAC, PROVINCIA DE CORONGO, DEPARTAMENTO DE ANCASH;ANCASH;20170902;09:00:00;REALIZADO;52;18;34;13;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;LOCAL DE LA MUNICIPALIDAD DEL C.P. CHINCHIL, DISTRITO DE HUACRACHUCO, PROVINCIA DE MARAÑÓN, DEPARTAMENTO DE HUÁNUCO;HUÁNUCO;20170902;09:00:00;REALIZADO;57;14;43;10;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;I.E.P. N° 84077 DE LA C.C. HUACHIMAY, DISTRITO DE HUACRACHUCO, PROVINCIA DE MARAÑÓN, DEPARTAMENTO DE HUÁNUCO.;HUÁNUCO;20170902;14:00:00;REALIZADO;155;61;94;7;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;I.E. JUAN VELASCO ALVARADO, C.C. PEDRO PABLO ATUSPALLA TARICA, DISTRITO DE CUSCA, PROVINCIA DE CORONGO, DEPARTAMENTO DE ANCASH;ANCASH;20170902;15:00:00;REALIZADO;126;25;101;17;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;LOCAL COMUNAL DE LA C.C. JUAN VELASCO PASACANCHA, DISTRITO DE CASHAPAMPA, PROVINCIA DE SIHUAS, DEPARTAMENTO DE ANCASH;ANCASH;20170903;09:00:00;REALIZADO;20;6;14;18;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;LOCAL COMUNAL DEL PREDIO CHINCHOBAMBA DE LA C.C. CATORCE INCAS, DISTRITO DE SAN JUAN, PROVINCIA DE SIHUAS, DEPARTAMENTO DE ANCASH;ANCASH;20170903;15:00:00;REALIZADO;24;8;16;6;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;LOCAL COMUNAL DE LA C.C. SICSIBAMBA, DISTRITO DE SICSIBAMBA, PROVINCIA DE SIHUAS, DEPARTAMENTO DE ANCASH;ANCASH;20170904;09:00:00;REALIZADO;21;9;12;8;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;I.E. N° 84141 EFRAÍN MANCISIDOR ESTRADA DE LA C.C. SANTA ROSA DE PATARÁ, DISTRITO DE FIDEL OLIVAS ESCUDERO, PROVINCIA DE MARISCAL LUZURIAGA, DEPARTAMENTO DE ANCASH.;ANCASH;20170904;12:00:00;REALIZADO;9;0;9;6;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;LOCAL CENTRO CÍVICO DE LA MUNICIPALIDAD DEL C.P. CAJAS DE LA C.C. MICAEKA BASTIDAS CAJAS, DISTRITO DE PAROBAMBA, PROVINCIA DE POMABAMBA, DEPARTAMENTO DE ANCASH;ANCASH;20170904;15:00:00;REALIZADO;59;23;36;9;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ""TERMINAL PORTUARIO SAN JUAN DE MARCONA""";TERMINAL PORTUARIO JINZHAO S.A.;PRESENCIAL;AUDITORIO MUNICIPAL, DISTRITO DE SAN JUAN DE MARCONA, PROVINCIA DE NAZCA, DEPARTAMENTO DE ICA;ICA;20170904;16:00:00;REALIZADO;41;13;28;19;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ""TERMINAL PORTUARIO SAN JUAN DE MARCONA""";TERMINAL PORTUARIO JINZHAO S.A.;PRESENCIAL;AUDITORIO MUNICIPAL, DISTRITO DE SAN JUAN DE MARCONA, PROVINCIA DE NAZCA, DEPARTAMENTO DE ICA;ICA;20170904;16:00:00;REALIZADO;143;36;107;53;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE INFRAESTRUCTURA;TALLER;TRANSPORTE;TERMINAL PORTUARIO SAN JUAN DE MARCONA;TERMINAL PORTUARIO JINZHAO PERÚ S.A.;PRESENCIAL;AUDITORIO MUNICIPAL DE SAN JUAN DE MARCONA;ICA;20170904;16:00:00;REALIZADO;41;13;28;19;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE INFRAESTRUCTURA;TALLER;TRANSPORTE;TERMINAL PORTUARIO SAN JUAN DE MARCONA;TERMINAL PORTUARIO JINZHAO PERÚ S.A.;PRESENCIAL;AUDITORIO MUNICIPAL DE SAN JUAN DE MARCONA;ICA;20170904;16:00:00;REALIZADO;143;36;107;53;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;"EVAP DEL PROYECTO ""CONSTRUCCIÓN DE PUENTE VEHICULAR Y PEATONAL JUAN PABLO II Y ACCESOS - PIURA""";GOBIERNO REGIONAL DE PIURA;PRESENCIAL;AUDITORIO LUIS PAREDES MACEDA DEL GOBIERNO REGIONAL PIURA;PIURA;20170905;09:00:00;REALIZADO;23;17;6;19;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;I.E. N°84040 - PAUCA, C.C. PAUCA, DISTRITO DE PAROBAMBA, PROVINCIA DE POMABAMBA, DEPARTAMENTO DE ANCASH;ANCASH;20170905;11:00:00;REALIZADO;18;8;10;7;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;LOCAL COMUNAL C.C. SHUMPILLÁN, DISTRITO DE PAROBAMBA, PROVINCIA DE POMABAMBA, DEPARTAMENTO DE ANCASH.;ANCASH;20170906;09:00:00;REALIZADO;67;20;47;10;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;I.E.P. N°84234 DEL C.P. CHANGA, C.C. SANTA CRUZ DE CHANGA, DISTRITO DE PAROBAMBA, PROVINCIA DE POMABAMBA, DEPARTAMENTO DE ANCASH;ANCASH;20170906;09:00:00;REALIZADO;41;7;34;7;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;I.E.P. N°84023, C.C. SAN ANDRÉS - SHUYPILLAY, DISTRITO DE PAROBAMBA, PROVINCIA DE POMABAMBA, DEPARTAMENTO DE ANCASH;ANCASH;20170906;14:00:00;REALIZADO;50;20;30;4;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;C.C. SAN MIGUEL DE HUASICAÑAY, DISTRITO DE PAROBAMBA, PROVINCIA DE POMABAMBA, DEPARTAMENTO DE ANCASH.;ANCASH;20170906;15:00:00;REALIZADO;63;9;54;3;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;ELECTRICIDAD;"ESTUDIO DE IMPACTO AMBIENTAL DEL PROYECTO ""CENTRAL HIDROELÉCTRICA YAKU Y SISTEMA DE TRANSMISIÓN ASOCIADO";ENGIE ENERGÍA PERÚ S.A.;PRESENCIAL;LOCAL MUNICIPAL DEL C.P. HUANCHAYLLO, C.C. HUANCHAYLLO, DISTRITO DE PAROBAMBA, PROVINCIA DE POMABAMBA, DEPARTAMENTO DE ANCASH;ANCASH;20170907;11:00:00;REALIZADO;169;43;126;30;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;"EIAD DEL  PROYECTO ""TERMINAL PORTUARIO PUCUSANA""";EMPRESA NAVISAN S.A.;PRESENCIAL;SALÓN DEL HOTEL RESTAURANTE SALÓN BLANCO;LIMA;20170908;16:00:00;REALIZADO;116;35;81;59;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOCAL COMUNAL DEL AAHH DULANTO;CALLAO;20171004;17:00:00;REALIZADO;78;30;48;18;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOCAL COMUNAL DE LA ASOCIACIÓN ALAMEDA PORTUARIA;CALLAO;20171006;18:00:00;REALIZADO;52;38;14;19;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOZA DEPORTIVA PARQUE FRATERNIDAD AAHH SARITA COLONIA;CALLAO;20171007;17:00:00;REALIZADO;164;79;85;19;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;I.E. N°5136 FERNANDO BELAUNDE TERRY. AAHH D.A..CARRIÓN;CALLAO;20171008;14:00:00;REALIZADO;199;120;79;11;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;"EIAD DEL  PROYECTO ""TERMINAL PORTUARIO PUCUSANA""";EMPRESA NAVISAN S.A.;PRESENCIAL;LOCAL DEL SINDICATO DE PESCADORES LOBO VARADO;LIMA;20171008;16:00:00;REALIZADO;34;9;25;22;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOCAL COMUNAL DEL AAHH 200 MILLAS;CALLAO;20171009;19:00:00;REALIZADO;190;100;90;19;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOCAL COMUNAL AAHH SANTA ROSA;CALLAO;20171011;17:00:00;REALIZADO;140;76;64;11;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOCAL COMUNAL SAL Y ROSAS DEL AAHH GAMBETA BAJA ESTE;CALLAO;20171012;18:00:00;REALIZADO;159;81;78;16;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOZA DEPORTIVA DEL AAHH, ANDRÉS AVELINO CÁCERES;CALLAO;20171013;18:00:00;REALIZADO;209;115;94;14;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOZA DEPORTIVA DEL AAHH. ACAPULCO;CALLAO;20171014;14:00:00;REALIZADO;149;74;75;15;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOZA DEPORTIVA DEL AAHH. BOLOGNESI;CALLAO;20171015;15:00:00;REALIZADO;232;145;87;15;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOCAL COMUNAL AAHH. AEROPUERTO;CALLAO;20171015;22:00:00;REALIZADO;36;18;18;9;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOCAL COMUNAL DE LA URB. LAS FRESAS;CALLAO;20171016;17:00:00;REALIZADO;49;16;33;13;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;MINERÍA;"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ""ANTAPACCAY - EXPANSIÓN TINTAYA-INTEGRACIÓN COROCCOHUAYCO"" ";MINERA ANTAPACCAY S.A.;PRESENCIAL;LOCAL COMUNAL DE LA COMUNIDAD CAMPESINA DE HUANU HUANU ;CUSCO;20171017;09:00:00;REALIZADO;0;NULL;NULL;16;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;MINERÍA;"ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ""LA PACCHA""";COMPAÑÍA MINERA CARAVELÍ S.A.C.;PRESENCIAL;LOCAL MUNICIPAL DE LA MUNICIPALIDAD DISTRITAL DE BULDIBUYO, CENTRO POBLADO DE BULDIBUYO, DISTRITO DE BULDIBUYO, PROVINCIA DE PATAZ EN EL DEPARTAMENTO DE LA LIBERTAD;LA LIBERTAD;20171017;10:00:00;REALIZADO;138;58;80;17;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;TRANSPORTE;MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL AEROPUERTO INTERNACIONAL JORGE CHÁVEZ;LIMA AIRPORT PARTNERS S.A.;PRESENCIAL;LOCAL COMUNAL DEL AAHH. RAMÓN CASTILLA;CALLAO;20171017;17:00:00;REALIZADO;271;149;122;13;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;MINERÍA;ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ANCOS;APUMAYO S.A.C.;PRESENCIAL;LOCAL COMUNAL DEL ANEXO PARA DE LA COMUNIDAD CAMPESINA PARA;AYACUCHO;20171215;10:00:00;REALIZADO;35;16;19;16;20240530
DIRECCIÓN DE EVALUACIÓN AMBIENTAL PARA PROYECTOS DE RECURSOS NATURALES Y PRODUCTIVOS;TALLER;MINERÍA;"MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO DEL PROYECTO ""ANTAPACCAY - EXPANSIÓN TINTAYA-INTEGRACIÓN COROCCOHUAYCO"" ";MINERA ANTAPACCAY S.A.;PRESENCIAL;LOCAL COMUNAL DE LA COMUNIDAD CAMPESINA PACOPATA;CUSCO;20171218;09:00:00;REALIZADO;68;36;32;31;20240530
